id,title,audio_path,duration_sec,leading_silence_sec,trailing_silence_sec,max_internal_gap_sec,flags,notes
glbabartc_20210628_065656,Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus,highlights/audio/MAMMALS/GLBABARTC_20210628_065656 Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIM COMPRESS AMPLIFY FADE.mp3,181.579,0.279,6.269,0.395,trailing,trailing silence 6.27s
glbabartc_20210628_065656-mp3,Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIMMED MORE,"highlights/audio/MAMMALS/GLBABARTC_20210628_065656 Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIMMED MORE, COMPRESS AMPLIFY FADE.mp3",68.173,0.0,0.0,0.0,,
glbamcleod_20220611_034405,a long sequence of Humpback Whale breathing,highlights/audio/MAMMALS/GLBAMCLEOD_20220611_034405 a long sequence of Humpback Whale breathing TRIM.mp3,74.188,0.0,0.0,0.0,,
glbarendu_20220610_213326,Humpback Whale with birdsong in background,highlights/audio/MAMMALS/GLBARENDU_20220610_213326 Humpback Whale with birdsong in background TRIM.mp3,86.69,0.0,0.0,0.0,,
glbarendu_20220612_162613,low-pitched Humpback Whale calls,highlights/audio/MAMMALS/GLBARENDU_20220612_162613 low-pitched Humpback Whale calls.mp3,27.0,0.0,0.0,0.0,,
glbarendu_20220613_214042,Humpback Whale slapping sounds,highlights/audio/MAMMALS/GLBARENDU_20220613_214042 Humpback Whale slapping sounds TRIM.mp3,111.505,0.244,1.73,6.177,trailing|internal_gap,trailing silence 1.73s; internal gap 6.18s
glbarendu_20220613_234543,varied alarm calls including Hoary Marmot,highlights/audio/MAMMALS/GLBARENDU_20220613_234543 varied alarm calls including Hoary Marmot.mp3,30.0,0.0,0.0,0.0,,
katm005_20100915_070024,excellent gutteral bear sounds,highlights/audio/MAMMALS/KATM005_20100915_070024 excellent gutteral bear sounds TRIM.mp3,34.0,0.0,0.0,0.0,,
laclchba_20180703_060620,clear coyotes,highlights/audio/MAMMALS/LACLCHBA_20180703_060620 clear coyotes.mp3,110.0,0.058,0.0,0.0,,
wrstblmt_20150402_093032,clear wolves howling with Ptarmigan pt. 2,highlights/audio/MAMMALS/WRSTBLMT_20150402_093032 clear wolves howling with Ptarmigan pt. 2.mp3,51.598,0.0,0.0,0.0,,
wrstblmt_20150402_093032-mp3,"clear wolves howling, slowly builds, Ptarmigan joins too!","highlights/audio/MAMMALS/WRSTBLMT_20150402_093032 clear wolves howling, slowly builds, Ptarmigan joins too!.mp3",102.945,0.255,0.0,0.0,,
