id,title,duration_sec,integrated_lufs,rms_db,peak_db,dynamic_range_db,flags,notes
glbabartc_20210628_065656,Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus,183.2,,-27.98,-1.4,26.58,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
glbabartc_20210628_065656-mp3,Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIMMED MORE,68.17,,-24.47,-1.13,23.33,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
glbamcleod_20220611_034405,a long sequence of Humpback Whale breathing,74.19,,-56.42,-33.36,23.07,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
glbarendu_20220610_213326,Humpback Whale with birdsong in background,86.69,,-39.99,-13.13,26.86,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
glbarendu_20220612_162613,low-pitched Humpback Whale calls,27.0,,-35.78,-13.74,22.04,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
glbarendu_20220613_214042,Humpback Whale slapping sounds,115.26,,-28.9,0.09,29.0,clipping_risk,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
glbarendu_20220613_234543,varied alarm calls including Hoary Marmot,30.0,,-45.78,-22.13,23.65,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
katm005_20100915_070024,excellent gutteral bear sounds,34.0,,-29.93,-8.29,21.63,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
laclchba_20180703_060620,clear coyotes,110.0,,-21.16,-0.71,20.44,clipping_risk,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstblmt_20150402_093032,clear wolves howling with Ptarmigan pt. 2,51.6,,-48.08,-22.69,25.39,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstblmt_20150402_093032-mp3,"clear wolves howling, slowly builds, Ptarmigan joins too!",228.92,,-61.07,-28.93,32.14,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstblmt_20150409_103518,Wolves howling - three distinct voices from an individual followed by group chorus,109.0,,-39.5,-20.39,19.11,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstblmt_20150429_225402,clear Wolves howling,79.0,,-37.24,-15.35,21.9,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstblmt_20170128_072543,excellent wolf pack howling - beautiful spectrogram,94.0,,-33.0,-13.48,19.52,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstblmt_20170204_124537,clear solitary wolf howling occasional background group,306.0,,-40.03,-14.12,25.9,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstblmt_20170204_124537-mp3,clear solitary wolf howling occasional background group,306.0,,-50.58,-28.39,22.19,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstblmt_20170211_002212,solitary wolf howl leads into group howling,160.0,,-46.08,-25.77,20.31,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstblmt_20170322_201312,"clear solitary wolf howling, vocal cracking",68.0,,-54.09,-34.52,19.57,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrstcopa_20160313_014852,solitary wolf howl very clear,57.0,,-35.75,-21.62,14.13,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrsttala_20160229_204005,clear group wolf howls,43.37,,-40.0,-21.42,18.58,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
wrsttala_20160401_010659,relatively clear pair of wolves howling with reverberation,42.91,,-47.59,-33.14,14.45,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
